image_id,load_pct
img_003649737a27c4e2767c,10.0
img_0087a53e98b76a30da59,10.0
img_00afab9e7c4183caf986,45.0
img_01c44822fbdbde552b1d,100.0
img_0286d4a57c49c7d21219,10.0
img_029c06206f3c61693ffa,100.0
img_02d415df9c4079e8b67b,40.0
img_030d55bf48bbb715d691,85.0
img_03120dfa680e3de41dc1,25.0
img_03204628c869342ed453,45.0
img_03e29ba4e64dc72d2355,80.0
img_04b8970b0c4e0055d087,20.0
img_04c8452fe0099c3e2e9c,20.0
img_054c233f676b84fd4d84,60.0
img_0599cec71d4db80bc22f,10.0
img_06211d5eea1db01582b4,50.0
img_0650a0e5f7bb1f905534,20.0
img_07528c411544a0c9ebd7,95.0
img_07cb68f0d4e6fadbe5fe,95.0
img_07fd14fa85f59e4d8312,20.0
img_0807a49533966542bdbc,2.0
img_086301b5655f15fcecd2,90.0
img_089748094c34cef78444,20.0
img_08b9e9eb3393e4fbaf86,100.0
img_09abe15ab7e8306c3137,70.0
img_0a15e65c599104fdf1dc,25.0
img_0b9683b0e215ea15f0fb,100.0
img_0bd0d1cc730a7e38b8e2,35.0
img_0c147db423e3f0fca767,10.0
img_0c224c3ccec577227082,75.0
img_0c33665b6e64a5eb5601,80.0
img_0cab19d24b8c7db7c20e,80.0
img_0cb24e4cb08db522fa01,15.0
img_0d39cdcf4c2d72534f73,95.0
img_0e44c9528e16d9fd70a5,15.0
img_1087eaaf3495c202107d,20.0
img_11719ffa10dd79b4666d,100.0
img_11898151a1fa2411f013,100.0
img_11aaee1ea0001dcbb6a5,100.0
img_11f89cb088f756522c91,100.0
img_121adeacba267b3a02c1,35.0
img_126d43916be1c9406a9c,20.0
img_12d67df7c5999dd6f7d4,70.0
img_13427cbd7fe11aa5b2bd,100.0
img_139676aa1580053f7584,90.0
img_13de2b2eeaa961738452,40.0
img_14532de5f5cc4219a4e2,90.0
img_154c5b5fe7ccc7f06f7f,35.0
img_1688fc1bbb217f067296,10.0
img_16bd9cbca1c43f75ea5a,65.0
img_1743d98453b06eb14ae5,100.0
img_17801937df1c2a7ffea1,20.0
img_178ad1c4967284470b1e,25.0
img_17e798eecaa524c1672c,80.0
img_181760e7ad58bb667c5e,95.0
img_1826a8294b2bb22595a9,2.0
img_18e1e7031747b0aedf08,20.0
img_18f4fab15b89804aced8,10.0
img_19e584efbaeaed1440d7,90.0
img_19ea3809e9c2f9dc4bd0,50.0
img_1b373aa0f5cd2b6c73e5,5.0
img_1c4ac23811e18b049190,90.0
img_1c724f01f91c21897b1a,25.0
img_1cefe281031d0cbb1890,10.0
img_1d74a8096ebd9f0b1037,35.0
img_1dddd9fb72abeba4ee82,50.0
img_1e0a3ed3e0c59ba40178,80.0
img_1e3a4eb4a296768526ae,20.0
img_1f8c15df2fb17bd6708c,10.0
img_1fe0199408e72553dc96,100.0
img_2095217d5ae7ef49e4da,25.0
img_216b147a02314cba385f,15.0
img_2182b8cbcb0920afd7b7,50.0
img_21c6d980931a55ce5cdc,50.0
img_21d3dd2373d644324149,45.0
img_2206f6e53792b4a05553,100.0
img_222026d73e214e42a48e,10.0
img_22500081154f499942b0,50.0
img_237d192485248d7bf1d2,80.0
img_24a161abb4de9f12cfc9,20.0
img_24ed7063359d5a2814e8,100.0
img_25a11dca94560c32ef84,70.0
img_25ca3fd686324c181db7,100.0
img_26298666bb5128a56724,75.0
img_2635921ab3d8d4638041,100.0
img_264d6ecd5864ff9f7efa,5.0
img_2682605464ff306158d3,90.0
img_27c59ed267dd926c0625,30.0
