image_id,group_id
img_003649737a27c4e2767c,grp_e5a7477767d195a3a110
img_0087a53e98b76a30da59,grp_2e7f7e1211995ba15003
img_00afab9e7c4183caf986,grp_613bc5529a675ffd294f
img_01c44822fbdbde552b1d,grp_4becfe5b5bed68ea8ea1
img_0286d4a57c49c7d21219,grp_58fa4d78b70e46d31f75
img_029c06206f3c61693ffa,grp_56442b2215de43831949
img_02d415df9c4079e8b67b,grp_2f3f94bffe108eb1dfb9
img_030d55bf48bbb715d691,grp_171b0dc427ac620550a2
img_03120dfa680e3de41dc1,grp_732a77a104572fe2548d
img_03204628c869342ed453,grp_2e29fe74bfbb355163c2
img_03e29ba4e64dc72d2355,grp_349f63988375dfbb354e
img_04b8970b0c4e0055d087,grp_0141296331d14f41534f
img_04c8452fe0099c3e2e9c,grp_de3649db769cfc602f54
img_054c233f676b84fd4d84,grp_7968d4c43a4a7f406cb1
img_0599cec71d4db80bc22f,grp_815668089ed71165d839
img_06211d5eea1db01582b4,grp_f8e4b3f10e76833e7866
img_0650a0e5f7bb1f905534,grp_870e13da805ff1923af3
img_07528c411544a0c9ebd7,grp_30ff6ba4b82b647337c3
img_07cb68f0d4e6fadbe5fe,grp_cb1cc4efe8d4450c8b0a
img_07fd14fa85f59e4d8312,grp_d66de5dd44859ca87d53
img_0807a49533966542bdbc,grp_1f8115e30741ff95dead
img_086301b5655f15fcecd2,grp_c812ad0d8690ca198280
img_089748094c34cef78444,grp_f97309df257c7542a777
img_08b9e9eb3393e4fbaf86,grp_33147e5ff37556932fb5
img_09abe15ab7e8306c3137,grp_50743c68d6d60c4f04dd
img_0a15e65c599104fdf1dc,grp_da544ba1aeb0eb128eea
img_0b9683b0e215ea15f0fb,grp_b84173d648b02f689d4d
img_0bd0d1cc730a7e38b8e2,grp_c208cd802a86c22b0c51
img_0c147db423e3f0fca767,grp_9a00c1ee25d8c29ab495
img_0c224c3ccec577227082,grp_77ab414119da5b3f0021
img_0c33665b6e64a5eb5601,grp_0fc3515866255a160f3b
img_0cab19d24b8c7db7c20e,grp_0f1c9b6ff3ddc97a7802
img_0cb24e4cb08db522fa01,grp_b418ba3892dd9daedf0f
img_0d39cdcf4c2d72534f73,grp_30ff6ba4b82b647337c3
img_0e44c9528e16d9fd70a5,grp_349259ea2956b3b2c7b7
img_1087eaaf3495c202107d,grp_674668232a926f09a40d
img_11719ffa10dd79b4666d,grp_300ab382a9dbc5eda10e
img_11898151a1fa2411f013,grp_c0805c6a368e0ff92df9
img_11aaee1ea0001dcbb6a5,grp_cfa0c55cadab4dd4dbc8
img_11f89cb088f756522c91,grp_eb3cf44fdf9ab86564b8
img_121adeacba267b3a02c1,grp_7bf022c32995e4684a48
img_126d43916be1c9406a9c,grp_eade3a0333e810d72f13
img_12d67df7c5999dd6f7d4,grp_5b2b540ad9be3f6134d5
img_13427cbd7fe11aa5b2bd,grp_8fe367e2e82d0b50c71e
img_139676aa1580053f7584,grp_acb7935da3adcde6bc2f
img_13de2b2eeaa961738452,grp_4a96630b8e662e1cf683
img_14532de5f5cc4219a4e2,grp_c5b636dc07ef30da48cc
img_154c5b5fe7ccc7f06f7f,grp_e58411d4ab0bc1153e12
img_1688fc1bbb217f067296,grp_50876be4262837d1e717
img_16bd9cbca1c43f75ea5a,grp_23a94ec1d73870cc40ad
img_1743d98453b06eb14ae5,grp_8bcd052434c770d98d52
img_17801937df1c2a7ffea1,grp_bac98df7234dc4972e28
img_178ad1c4967284470b1e,grp_b60b7cb26b1df9824104
img_17e798eecaa524c1672c,grp_8395a36ff9945f1c8c9f
img_181760e7ad58bb667c5e,grp_ee35afbf9dabb10fc93f
img_1826a8294b2bb22595a9,grp_4c1961d07bb9423ea70f
img_18e1e7031747b0aedf08,grp_c2c33c6d04df443f95c6
img_18f4fab15b89804aced8,grp_557c6791005427bb14dd
img_19e584efbaeaed1440d7,grp_9452c921306e23be7c70
img_19ea3809e9c2f9dc4bd0,grp_cd67185ba1233063bd4c
img_1b373aa0f5cd2b6c73e5,grp_fb87d381168429ec9d71
img_1c4ac23811e18b049190,grp_a25639633ccdbc0bf197
img_1c724f01f91c21897b1a,grp_82827c2463138dc3dcb3
img_1cefe281031d0cbb1890,grp_11765edcdceb3ab7d1c8
img_1d74a8096ebd9f0b1037,grp_beb9ec802baa34d9ad32
img_1dddd9fb72abeba4ee82,grp_3b25544723f7cbdd18bb
img_1e0a3ed3e0c59ba40178,grp_42408f6cebcc2c81b2e5
img_1e3a4eb4a296768526ae,grp_03146f7022c7d7ab80a3
img_1f8c15df2fb17bd6708c,grp_8a92d1e70fb704a2bc52
img_1fe0199408e72553dc96,grp_7d0805fa798dda2863dc
img_2095217d5ae7ef49e4da,grp_320793feff148a7a31cd
img_216b147a02314cba385f,grp_14e3ad1c1e479530b468
img_2182b8cbcb0920afd7b7,grp_66d565a253ff8d54a612
img_21c6d980931a55ce5cdc,grp_28a09b186332d9f59d98
img_21d3dd2373d644324149,grp_ec864a84881ff98d8c36
img_2206f6e53792b4a05553,grp_322c904f8c0ee228e737
img_222026d73e214e42a48e,grp_a55cc9d6d31b994f68a3
img_22500081154f499942b0,grp_349f63988375dfbb354e
img_237d192485248d7bf1d2,grp_bcaeecf994f28a69e87f
img_24a161abb4de9f12cfc9,grp_9aff381f5e0ab91c0e6c
img_24ed7063359d5a2814e8,grp_16753e6212fcfe32cfc4
img_25a11dca94560c32ef84,grp_23ac5a6200a841c73d5a
img_25ca3fd686324c181db7,grp_8bcd052434c770d98d52
img_26298666bb5128a56724,grp_86eea999511909047745
img_2635921ab3d8d4638041,grp_23b4849dfc8a6b97320d
img_264d6ecd5864ff9f7efa,grp_2e29fe74bfbb355163c2
img_2682605464ff306158d3,grp_1d10021734946736e7bf
img_27c59ed267dd926c0625,grp_4997f0f896e6e0478955
img_27ce15e27e259dbb5619,grp_a135ce9ede9bd7b6e991
img_280cd4c58ba2bda27826,grp_4059ff83fb88d530ead9
img_281c77a5fd61cad44665,grp_eade3a0333e810d72f13
img_2882667a16b6e1e9bdb8,grp_ec3d5e611d783cda780d
img_290798fd6e119c0f17a7,grp_4c526863193a6423679d
img_2918025e609f581d50d4,grp_2e7f7e1211995ba15003
img_2a0dfeaa306461a3907b,grp_664e86082f008ec9fa1e
img_2a707db353909d094eb3,grp_a6e26802f14e82dc5bf0
img_2a80651c5dbb9487b239,grp_155e42777fdd0e75d9e0
img_2aca16190d98221e14d1,grp_b34cd50c321df6d12fee
img_2b235adf77e23991b3a1,grp_9387490bf3b05cce4bff
img_2b35aaa88c4bd81a89d8,grp_3f500af042b71c102a3c
img_2be4b0ff2a44c2fdb115,grp_91b6fd6fedb86e6ff01b
img_2bfb5703b122d599f76e,grp_6762b74d084c6e8ed51f
img_2c362db54f27c19c7522,grp_564adbccfa61125fcbbf
img_2ca0d566477dfd02f9a1,grp_76e1ec5908602b582da0
img_2d13f13c6c6288b14473,grp_ba391ef52d81da50020d
img_2d533863cb33cfaec3a6,grp_67ccf78d37038bbd2083
img_2dc62de60d77687544d4,grp_9db1e473e620d3c154c3
img_2df148e6a72f5def888d,grp_f62d91dead969ee21c5a
img_2e29c9a8160139d3ee75,grp_2a79c712d31ef42361a9
img_2e9fd6c0bc2486cee0a8,grp_9c419bb002ef2c70e451
img_2eaa64aa839ec066d865,grp_703c09c2b889552b734e
img_2ec04009b4976d27b74d,grp_a26665ca0a7c855b83d2
img_2eff018b392ac16fd086,grp_6d06f3acbad0b01e8aee
img_2f83f3bee60ef107c413,grp_4c51baa1d0f65d7d2f1f
img_2fbe094bf8d53d239ad1,grp_ac712b82b052d01e989b
img_2fe8eabbb36648f14b7d,grp_ac79af26f5176ca39af6
img_31893bc2b2eb9b3cf18f,grp_34f90456b2df4d6cc842
img_319facca57ec8cef13c3,grp_53a1f0128d1a070581f2
img_31dccd9625c0a471bcb2,grp_0e3186c95e30535ac9da
img_3248a20ba1e5d6f644b7,grp_ce7ccfb444c42d7206ff
img_325cd5c5bac3a18ee3ee,grp_63166a97ed71bcb4cb4d
img_326e229f0de19b32ea33,grp_6789f84b1262d1b4aa82
img_32f85dcb7edfca545aa5,grp_637c2b97d9a738d89f04
img_3307b5e0d772bf8fa470,grp_6256e8c9f33851601082
img_330988ce4cb921afbe33,grp_f5435248bc2dcd04afda
img_333f8ebc88fb8219947f,grp_d79a6207bcf13a05fb5f
img_345c3aed6ffad06c0939,grp_fc0ad337ba08086fba56
img_34a4528a59bc0c047ef7,grp_da78b1e754c2df8bf621
img_355d1577f110dbe42624,grp_e722a3448505471c09f7
img_3560747b34a946955b57,grp_389d3e0453dca8a5ecce
img_35939e1603bc72a6c91b,grp_61af7513cee0d0db098c
img_35be322e4a3c734cd215,grp_8dce3de679bef597e239
img_35f90f5b7f0dece2994b,grp_f5cce077cdb0290f5fcb
img_363eb135bdc8a627b930,grp_1d26132518c1a090318d
img_369d0fd9253f7803cf53,grp_d2ba617dcea5de21a65e
img_3734bfcae4245eb0fa22,grp_14f115f40c4ab4afc690
img_386761fc0ae1c50d4df8,grp_86acfde5aef717e71f73
img_38e8210c9c862ecd30cb,grp_4c804c569f6af487936d
img_3901072d9104ee457cf4,grp_ded2bc8e48a0b17045e8
img_393331ed7ff1605ca96a,grp_e6440a9c9dc837329f3d
img_3a4db33a2dd6f7a5c64e,grp_0203dd65481cdb7c0644
img_3adf3a7d3629fd83af9f,grp_e9f03a41f5e813ba500b
img_3c12cd26de6579c7c5fc,grp_c94884255af4f01a1106
img_3d09e679130e79c429e2,grp_17979e02c4fa4efd543a
img_3d316581b0becea822b9,grp_ab3986713c65bdfa70c0
img_3d8252969b845fca07bb,grp_96af6f05640476a9cf1f
img_3d94cf92c07065ef10fc,grp_96f01511622643705d0e
img_3dab13924eb9e95d683c,grp_1158a43eedaea98c1360
img_3ddbfa4ea55b2da37a09,grp_017b5fd045d79ae7a06f
img_3e1aa992032d3cdc19f2,grp_cb784c354a8de2bbc5ff
img_3e64e08267e4b697cc88,grp_76a80612c688adf697c6
img_3e77762f3180b3fd306c,grp_c3fac805f00251ff816c
img_3ed6bb690e564281d175,grp_050f0cc8fc745933ee76
img_3f054cd7b1ef2eaa7549,grp_815668089ed71165d839
img_3f0713f25ba71a75a892,grp_2ef90eccacb0c7fbe3a3
img_3f0fd88aa8ace867d651,grp_b0511636e2e3590ad7e9
img_3f162f4bb433cd552663,grp_85c8a3740778053fe821
img_3f5bb0df8b07c91875b0,grp_590e2f990dcd5bf83db8
img_3f74916e1465afacb35b,grp_8c8f933322942d96b54d
img_40010efa34db6cd92011,grp_b0b8401ef012d1e11fdc
img_40b7e29be5c47dc3cafc,grp_c82ec8f9b20c2a5ee9f4
img_40b87146d548dd670b91,grp_14e3ad1c1e479530b468
img_40c636e6c07ad096f611,grp_afe11b1f5d86f1de330a
img_40c87112ff9509bee28a,grp_de944c774e9b813e2823
img_40dda35899023ebedee7,grp_e894075445c13e5f2527
img_40ee5bfeb06be9144dd4,grp_cef9cb3127e951b7b248
img_40f8faa53c571bbb8d43,grp_46b7f0f670f4c316c593
img_413843a0b4bee8ee51c2,grp_85fe3192853d3680c6f1
img_4152fe3765591966a6d4,grp_ed9e81fb9f54ee647764
img_417a25b1ef9a73fecc85,grp_0dbfd93c71c2b9dd4dbc
img_418bb547be9aa782bc7a,grp_da41c976bc38159e53fc
img_41c97c5f7ea9512256b8,grp_746f2ee80bd584a2b87b
img_4228478ec4b7cf7eab81,grp_6af918bca3fba86fc440
img_4241ae9aa263dcde5abf,grp_b07089aff0d2168871cb
img_431e4e23913484c5aae8,grp_2ef160108359342404db
img_43ace004ec2ee089054c,grp_fb87d381168429ec9d71
img_43cf6f9b8c9ca0f162e0,grp_2a1484a252ca12de7a37
img_43d921fb1b7f33459e59,grp_8e19ce325afc123f682c
img_44f6102138ee907970fe,grp_637f537f5d34250c2233
img_4595f30e2a29ff9673fb,grp_c119c68378c24e6294ff
img_45dd7eab189dee356dae,grp_c1dea80b54a8e4e36b3a
img_45eb04e39bc7ffe38513,grp_07003c05d55323ea00d4
img_461b81f25c782404c2a6,grp_f4a4f5d9e1fc7fd1eb4f
img_461c92463547527666ba,grp_41d0c679af7ca002be5f
img_464ae54e5f0d28d1267a,grp_f0dceab89a644bd23601
img_4684e5655dbf6fd89d62,grp_73d39bef53501385e4cb
img_46944e0ae09d5bb6509b,grp_82813fd755916c581e6e
img_46cdf5a158b9764f8098,grp_63b2741595bed95b88e8
img_46d94b7ac9dd74cd2aaa,grp_0d60f7d2e519c819483c
img_47816531a920409760e3,grp_f3b20c9c24b9875e5d9b
img_481babf60edc6b01746b,grp_fb87d381168429ec9d71
img_483177ae61af00471f98,grp_c12d2eee438d583df16d
img_498a8cca9347395e96d8,grp_6a96efeb85a48216cc2d
img_49a4cb1f1847c5563dfa,grp_7f09c7abdffba2865cea
img_49ba922809852c25b419,grp_6d78b07ac00ab80403d5
img_4a77186d6d3095042e99,grp_349f63988375dfbb354e
img_4a7c74bb1464dbc13201,grp_435802b26c91aabf6b1c
img_4ae4e1c2eda931fb9b42,grp_fb87d381168429ec9d71
img_4b7b1b459e9d270f646a,grp_7f31fd6f812fc7636bde
img_4bd15d634df9b73a808d,grp_9acf723591665421f61a
img_4bfb6cc65b1db55d33d9,grp_1ca11e660cd110ccdf77
img_4c2b464198c6e91b2803,grp_a28736f95c1fa4bc3823
img_4c3a9b82907d5bc8fed8,grp_48b4f1a20033238ae2ee
img_4c570fb133d50b453614,grp_de342f0b2b84b84e136b
img_4d3ba9c083e623c6dec4,grp_8977ece9a43a71df84e1
img_4d6ef14f2d8d5ffe3c31,grp_3a024e1ff14089396d50
img_4db921093e0d8b1b8af2,grp_1b916a84959bf0775e17
img_4df2b6b950d73f78e5a4,grp_5b9c0ef9e86aeb55586d
img_4f543307edb8aa2b6adb,grp_d96d25d6c86e92c12c28
img_4fea152c8b22ae433f94,grp_6551c8ad82b94b3b172b
img_4fed2d69f1d967cb6a38,grp_1ac0500d283aed57fb36
img_4ffc66e2e39991648c04,grp_a9f5e7a55bdc88c07dd4
img_4ffdc1908644c09b4411,grp_12ed06e973affc217e14
img_520c0693ceedc81b1ab9,grp_a94ff2e63f457fcf7534
img_5221b7575e8e9c42f393,grp_2d6fa28c67ff66e9553b
img_528ba3305b7251ce43bf,grp_fb87d381168429ec9d71
img_533bb8794ea5a199aaaa,grp_2c4f6c71569f97810904
img_53807fb9cd3a061ae60d,grp_629772e2db9a0a95ded7
img_549e8382ea5b44921e00,grp_58473dd5049fa159a042
img_54eaf29c0d087b5ac803,grp_8ade6e1bfdfe3247b182
